l_ear,l_forehead,r_forehead,r_ear,ch5,ch6
833.6630036630037,816.3369963369963,844.945054945055,853.8095238095239,nan,nan
831.6483516483516,814.3223443223443,844.1391941391942,851.3919413919414,nan,nan
832.8571428571429,817.5457875457876,842.1245421245421,857.8388278388279,nan,nan
831.6483516483516,819.1575091575091,846.1538461538462,871.5384615384615,nan,nan
834.4688644688645,819.1575091575091,843.7362637362637,867.1062271062272,nan,nan
831.2454212454213,818.7545787545788,839.3040293040293,850.5860805860806,nan,nan
831.2454212454213,817.1428571428571,838.0952380952381,840.9157509157509,nan,nan
840.1098901098901,816.3369963369963,837.6923076923077,842.1245421245421,nan,nan
836.4835164835165,816.3369963369963,840.1098901098901,846.959706959707,nan,nan
824.3956043956044,817.1428571428571,840.1098901098901,840.5128205128206,nan,nan
827.2161172161173,818.7545787545788,837.6923076923077,837.6923076923077,nan,nan
837.2893772893773,819.1575091575091,838.901098901099,850.989010989011,nan,nan
836.886446886447,819.1575091575091,840.9157509157509,851.7948717948718,nan,nan
829.2307692307693,816.7399267399268,840.1098901098901,845.7509157509157,nan,nan
833.6630036630037,812.3076923076924,842.1245421245421,850.5860805860806,nan,nan
838.901098901099,812.3076923076924,843.7362637362637,859.8534798534798,nan,nan
823.5897435897436,814.3223443223443,842.5274725274726,851.7948717948718,nan,nan
826.4102564102565,814.3223443223443,842.5274725274726,846.959706959707,nan,nan
831.2454212454213,814.3223443223443,841.7216117216118,849.7802197802198,nan,nan
826.8131868131868,815.934065934066,840.5128205128206,849.3772893772895,nan,nan
828.021978021978,811.9047619047619,840.9157509157509,844.1391941391942,nan,nan
814.3223443223443,813.1135531135532,841.7216117216118,829.6336996336996,nan,nan
812.3076923076924,819.96336996337,841.7216117216118,831.6483516483516,nan,nan
822.7838827838829,817.5457875457876,840.9157509157509,842.9304029304029,nan,nan
831.2454212454213,811.5018315018315,846.5567765567765,846.5567765567765,nan,nan
824.7985347985348,810.2930402930403,850.1831501831502,847.3626373626374,nan,nan
815.934065934066,810.2930402930403,847.7655677655678,842.5274725274726,nan,nan
817.948717948718,813.1135531135532,844.5421245421246,836.886446886447,nan,nan
818.7545787545788,816.3369963369963,841.7216117216118,834.0659340659341,nan,nan
811.9047619047619,817.1428571428571,844.945054945055,826.007326007326,nan,nan
804.2490842490843,818.3516483516484,847.7655677655678,826.8131868131868,nan,nan
814.3223443223443,811.5018315018315,838.901098901099,844.945054945055,nan,nan
820.7692307692308,807.0695970695971,838.0952380952381,846.1538461538462,nan,nan
821.5750915750916,807.8754578754579,844.1391941391942,838.901098901099,nan,nan
820.3663003663004,811.0989010989011,844.945054945055,842.1245421245421,nan,nan
815.5311355311355,813.1135531135532,846.5567765567765,855.4212454212454,nan,nan
816.3369963369963,813.5164835164835,843.3333333333334,848.974358974359,nan,nan
